0,4,E-,1,M,0,I
4,8,E-,5,D7,0,V7
8,12,E-,1,M,0,I
12,14,E-,5,D7,0,V7
14,16,E-,1,M,0,I
16,20,E-,1,M,0,I
20,24,E-,5,D7,0,V7
24,28,E-,1,M,0,I
28,30,E-,5,D7,0,V7
30,32,E-,1,M,0,I
32,42,E-,5,D7,0,V7
42,43,E-,7/6,d7,0,vii-7/vi
43,43,E-,6,m,0,vi
44,45,E-,5/6,M,0,V/vi
45,46,E-,4,M7,0,IV7
46,47,E-,5/5,M,1,V6/V
47,48,E-,5,D7,0,V7
48,49,E-,1,M,0,I
49,50,E-,5,D7,0,V7
58,59,E-,7/6,d7,0,vii-7/vi
59,60,E-,6,m,0,vi
60,61,E-,5/6,M,0,V/vi
61,62,E-,4,M7,0,IV7
62,63,E-,5/5,M,1,V6/V
63,64,E-,5,D7,0,V7
64,65,E-,1,M,0,I
65,72,E-,1,M,0,I
72,76,E-,5,D7,2,V43
76,78,E-,5,D7,0,V7
78,80,E-,1,M,0,I
80,88,E-,1,M,0,I
88,92,E-,5,D7,2,V43
92,94,E-,5,D7,0,V7
94,96,E-,1,M,0,I
96,100,f,5,M,0,V
100,101,f,7/5,d,0,vii-/V
101,102,f,5,D7,3,V42
102,103,f,1,m,1,i6
103,104,f,5,D7,1,V65
104,106,f,1,m,0,i
106,108,E-,5,D7,0,V7
108,109,E-,1,M,2,I64
109,110,E-,5,D7,0,V7
110,112,E-,1,M,0,I
112,116,f,5,M,0,V
116,117,f,7/5,d,0,vii-/V
117,118,f,5,D7,3,V42
118,119,f,1,m,1,i6
119,120,f,5,M,1,V6
120,122,f,1,m,0,i
122,124,E-,5,D7,0,V7
124,125,E-,1,M,2,I64
125,126,E-,5,D7,0,V7
126,128,E-,1,M,0,I
128,132,E-,1,M,0,I
132,136,E-,5,D7,0,V7
136,140,E-,1,M,0,I
140,142,E-,5,D7,0,V7
142,144,E-,1,M,0,I
144,148,E-,1,M,0,I
148,152,E-,5,D7,0,V7
152,156,E-,1,M,0,I
156,158,E-,5,D7,0,V7
158,160,E-,1,M,0,I
160,170,E-,5,D7,0,V7
170,171,E-,7/6,d7,0,vii-7/vi
171,172,E-,6,m,0,vi
172,173,E-,5/6,M,0,V/vi
173,174,E-,4,M7,0,IV7
174,175,E-,5/5,M,1,V6/V
175,176,E-,5,D7,0,V7
176,177,E-,1,M,0,I
177,186,E-,5,D7,0,V7
186,187,E-,7/6,d7,0,vii-7/vi
187,188,E-,6,m,0,vi
188,189,E-,5/6,M,0,V/vi
189,190,E-,4,M7,0,IV7
190,191,E-,5/5,M,1,V6/V
191,192,E-,5,D7,0,V7
192,193,E-,1,M,0,I
193,196,C,1,M,0,I
196,198,C,5,D7,2,V43
198,201,C,5,M,0,V
201,202,C,5,D7,1,V65
202,204,C,1,M,0,I
204,205,C,1,M,0,I
205,207,C,6,m7,1,vi65
207,208,C,4,M,0,IV
208,210,G,7/4,h7,1,vii=65/IV
210,211,G,5/2,D7,1,V65/ii
211,213,G,2,m,0,ii
213,214,G,5,D7,0,V7
214,216,G,1,M,0,I
216,220,C,1,M,0,I
220,222,C,5,D7,2,V43
222,225,C,5,M,0,V
225,226,C,5,D7,1,V65
226,228,C,1,M,0,I
228,229,C,1,M,0,I
229,231,C,6,m7,1,vi65
231,232,C,4,M,0,IV
232,234,G,7/4,h7,1,vii=65/IV
234,235,G,5/2,D7,1,V65/ii
235,237,G,2,m,0,ii
237,238,G,5,D7,0,V7
238,240,G,1,M,0,I
240,243,C,5,M,0,V
243,252,C,5,D7,0,V7
252,253,C,1,M,1,I6
253,255,C,6,m7,1,vi65
255,256,C,4,M,0,IV
256,258,C,7,d,0,vii-
258,259,C,1,M,0,I
259,261,C,2,m7,0,ii7
261,262,C,5,D7,0,V7
262,264,C,1,M,0,I
264,267,E-,5/6,M,0,V/vi
267,276,E-,5/6,D7,0,V7/vi
276,277,E-,6,m,1,vi6
277,279,E-,4,M7,1,IV65
279,280,E-,2,m,0,ii
280,282,E-,5,D7,1,V65
282,294,E-,5,D7,0,V7
294,298,E-,1,M,0,I
298,302,E-,5,D7,0,V7
302,306,E-,1,M,0,I
306,308,E-,5,D7,0,V7
308,310,E-,1,M,0,I
310,314,E-,1,M,0,I
314,318,E-,5,D7,0,V7
318,322,E-,1,M,0,I
322,323,E-,5,D7,0,V7
323,324,E-,5,D7,3,V42
324,326,E-,1,M,1,I6
326,336,E-,5,D7,0,V7
336,337,E-,7/6,d7,0,vii-7/vi
337,338,E-,6,m,0,vi
338,339,E-,5/6,M,0,V/vi
340,341,E-,4,M7,0,IV7
341,342,E-,5/5,M,1,V6/V
342,343,E-,5,D7,0,V7
343,344,E-,1,M,0,I
344,350,E-,5,D7,2,V43
350,352,E-,5,D7,1,V65
352,353,E-,7/6,d7,1,vii-65/vi
353,354,E-,4,M,2,IV64
354,355,E-,5/6,M,1,V6/vi
355,356,E-,6,m,0,vi
356,357,E-,5/5,M,1,V6/V
357,357,E-,5,D7,0,V7
358,359,E-,1,M,0,I
360,362,E-,7/4,d,0,vii-/IV
362,366,E-,4,M,2,IV64
366,370,E-,7,d,0,vii-
370,372,E-,1,M,0,I
372,374,E-,7,d,0,vii-
374,376,E-,1,M,0,I
376,378,E-,7,d,0,vii-
378,390,E-,1,M,0,I
